district,Municipality,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,floor
Kathmandu,Kathmandu,1518.73,3,12000000,1,1,2076,3-,West,1
Kathmandu,Kathmandu,1711.25,4,25000000,5,4,2070,3+,South West,3
Lalitpur,Mahalaxmi,1026.75,4,15000000,4,4,2076,3-,South,2
Lalitpur,Lalitpur,1112.31,5,14000000,3,2,2067,3-,West,5
Kathmandu,Kathmandu,427.81,6,8500000,1,1,2076,3-,East,5
Kathmandu,Tokha,3162.39,6,58000000,5,5,2068,3-,North,3.5
Kathmandu,Chandragiri,1000,6,14500000,5,3,2072,3-,North West,3.5
Bhaktapur,Suryabinayak,700,6,16000000,6,3,2073,3-,East,3
Bhaktapur,Bhaktapur,513.375,6,4000000,2,1,2076,3-,East,3
Kathmandu,Kathmandu,410.7,6,10000000,1,2,2075,3-,East,3
Lalitpur,Lalitpur,1369,6,21000000,8,3,2076,3-,East,3
Kathmandu,Kirtipur,1200,6,19499988,3,3,2068,3-,West,2.5
Kathmandu,Kathmandu,1369,6,20000000,6,2,2067,3-,East,2.5
Kathmandu,Budhanilkantha,1540.12,6,15000000,4,2,2070,3-,East,2
Kathmandu,Kathmandu,2012.43,8,55000000,6,4,2030,3+,South,3.5
Bhaktapur,Changunarayan-02,855.625,8,13500000,5,4,2079,3+,North,3
Bhaktapur,Suryabinayak,1437.45,8,18500000,1,1,2066,3-,East,2.5
Kathmandu,Kathmandu,2139,8,52500000,1,1,2076,3-,East,2.5
Kathmandu,Kathmandu,941.1875,8,17500000,4,3,2079,3+,South,2.5
Lalitpur,Mahalaxmi,1283.4375,8,27500000,7,5,2079,3+,North East,2.5
Kathmandu,Nagarjun,1176.48,8,15500000,1,1,2066,3-,East,2
Kathmandu,Nagarjun,1200,8,16000000,3,2,2074,3-,North,2
Kathmandu,Kageshwori Manahara,855.625,8,12500000,2,1,2076,3-,South,1
Lalitpur,Patan,1250,10,18000000,3,2,2070,3+,East,12
Kathmandu,Samakhusi,2652.4375,10,45000000,7,8,2079,3+,West,4.5
Kathmandu,Kathmandu,1026.75,10,23000000,15,8,2075,3-,South,4.5
Kathmandu,Kathmandu,2738,10,100000000,6,4,2060,3-,East,4
Kathmandu,Kathmandu,1390.390625,10,35000000,12,8,2070,3+,South,4
Kathmandu,Kathmandu,1582.9,10,50000000,8,8,2070,3-,South,4
Bhaktapur,Bhaktapur,1283.43,10,21000000,8,3,2076,3-,East,3.5
Kathmandu,Kathmandu,1235.5225,10,31000000,11,3,2060,3+,North,3.5
Kathmandu,Gokarneshwor,1711.25,10,27500000,5,5,2075,3+,East,3.5
Kathmandu,Kirtipur,1026.75,10,13500000,4,3,2076,3-,South,3.5
Kathmandu,Kathmandu,1000,10,16000000,4,3,2070,3-,East,3.5
Kathmandu,Kathmandu,577.546875,10,36500000,8,3,2060,3-,West,3.5
Kathmandu,Kathmandu,1026.75,10,41500000,1,4,2076,3-,East,3.5
Kathmandu,Nagarjun,1540.125,10,30000000,1,5,2075,3-,East,3.5
Kathmandu,Kathmandu,2738,10,48000000,5,4,2070,3+,East,3.5
Lalitpur,Balkumari,1026.75,10,30000000,6,4,2075,3+,North West,3.5
Lalitpur,Lalitpur,1326.21875,10,23000000,4,4,2079,3+,North East,3.5
Lalitpur,Mahalaxmi,898.44,10,25000000,6,3,2071,3-,East,3.5
Lalitpur,Mahalaxmi,2909.125,10,60000000,12,6,2071,3-,East,3.5
Bhaktapur,Suryabinayak,1500,10,29500000,8,3,2075,3-,South,3
Bhaktapur,Suryabinayak,1026.75,10,20200000,7,4,2073,3-,East,3
Kathmandu,Kathmandu,1500,10,350000000,7,3,2067,3-,South East,3
Kathmandu,Budhanilkantha,2053.5,10,36000000,6,5,2076,3-,South East,3
Kathmandu,Budhanilkantha,1369,10,29000000,1,1,2076,3-,South East,3
Kathmandu,Kathmandu,1540.125,10,39500000,1,1,2067,3-,East,3
Kathmandu,Kathmandu,1197.875,10,22000000,6,4,2079,3+,East,3
Lalitpur,Mahalaxmi,855.625,10,18500000,3,3,2079,3+,North East,3
Kathmandu,Chandragiri,1711.25,10,30000000,5,4,2079,3+,West,2.5
Kathmandu,Chandragiri,1711.25,10,22000000,6,3,2074,3-,East,2.5
Kathmandu,Kathmandu,3764,10,105000000,4,4,2076,3+,East,2.5
Kathmandu,Kathmandu,898,10,19500000,4,3,2076,3-,South West,2.5
Kathmandu,Kathmandu,1369,10,24500000,6,3,2075,3-,East,2.5
Kathmandu,Kathmandu,4107,10,75000000,5,5,2075,3+,East,2.5
Kathmandu,Mulpani,1026.75,10,15000000,6,3,2075,3+,North,2.5
Kathmandu,Kathmandu,1369,10,17000000,6,3,2079,3+,North,2.5
Kathmandu,Kathmandu,1369,10,20000000,6,3,2070,3+,North,2.5
Kathmandu,Gokarneshwor,855.625,10,15200000,4,3,2079,3+,East,2.5
Kathmandu,Gokarneshwor-1,1197.875,10,16000000,3,3,2070,3+,East,2.5
Kathmandu,Nagarjun-03,941.1875,10,13000000,4,3,2075,3+,West,2.5
Kathmandu,Chandragiri- 12,855.625,10,14500000,5,3,2075,3+,South East,2.5
Kathmandu,Tokha,2395.75,10,50000000,4,4,2075,3-,South,2.5
Kathmandu,Budhanilkantha,1454.56,10,29000000,6,4,2076,3-,West,2.5
Kathmandu,Nagarjun,1925.15,10,25500000,4,2,2067,3-,West,2.5
Kathmandu,Kathmandu,1711.25,10,29000000,4,4,2076,3-,West,2.5
Kathmandu,Kathmandu,2738,10,48000000,7,5,2067,3-,South,2.5
Kathmandu,Nagarjun,1095.2,10,14500000,3,3,2073,3-,East,2.5
Kathmandu,Nagarjun,1500,10,35500000,6,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,10,26500000,5,3,2076,3-,East,2.5
Kathmandu,Nagarjun,900,10,25000000,5,3,2076,3-,East,2.5
Kathmandu,Chandragiri,1711.25,10,26500000,6,3,2073,3-,West,2.5
Kathmandu,Budhanilkantha,1197.875,10,23500000,5,3,2076,3-,South East,2.5
Kathmandu,Gokarneshwor,752.95,10,14300000,3,3,2071,3-,South,2.5
Kathmandu,Tokha,1711.25,10,45000000,7,4,2076,3-,East,2.5
Kathmandu,Gokarneshwor,1369,10,28000000,5,4,2073,3-,South,2.5
Lalitpur,Mahalaxmi,1026.75,10,17000000,5,4,2074,3-,East,2.5
Lalitpur,Lalitpur,1026.75,10,41000000,6,5,2069,3-,South East,2.5
Lalitpur,Lalitpur,1026.75,10,21500000,7,4,2079,3+,South,2.5
Lalitpur,Godawari,1369,10,26000000,4,3,2079,3-,South,2.5
Lalitpur,Mahalaxmi,1133.703125,10,15000000,5,2,2070,3+,East,2.5
Lalitpur,Lalitpur,1882.375,10,23500000,6,5,2079,3+,East,2.5
Kathmandu,Chandragiri,855.62,10,11000000,4,3,2075,3-,East,2
Kathmandu,Gokarneshwor,1711.25,10,23500000,1,1,2076,3-,South,2
Kathmandu,Budhanilkantha,1625.68,10,26000000,2,2,2076,3-,North,2
Kathmandu,Kathmandu,900,10,9100000,3,2,2073,3-,West,2
Bhaktapur,Bhaktapur,1060.975,10,9000000,3,2,2075,3-,North,1.5
Bhaktapur,Bhaktapur,1069.53,10,10500000,2,2,2075,3-,West,1
Bhaktapur,Changunarayan,1060.975,10,750000000,4,1,2076,3-,South,1
Kathmandu,Kathmandu,1026.75,10,17200000,5,1,2076,3-,South,1
Kathmandu,Tarkeshwor,1026.75,10,12700000,3,1,2072,3-,North,1
Kathmandu,Budhanilkantha,1369,10,19000000,2,1,2067,3-,West,1
Kathmandu,Chandragiri,3080.25,10,18500000,4,1,2076,3+,West,1
Kathmandu,Kageshwori Manahara,1219.26,10,11000000,2,1,2078,3-,South East,1
Lalitpur,Lalitpur,1433.171875,10,17000000,2,1,2079,3+,West,1
Kathmandu,Budanilkantha-10,1197.875,11,27500000,5,2,2070,3+,East,2.5
Kathmandu,Kathmandu,1112.3125,12,36000000,23,15,2060,3-,South,5.5
Kathmandu,Kathmandu,2395.75,12,41000000,11,4,2060,3+,South East,4
Kathmandu,Kathmandu,1369,12,37500000,8,5,2074,3-,East,4
Kathmandu,Kathmandu,1711.25,12,38000000,8,4,2076,3-,West,4
Kathmandu,Kathmandu,1946.54,12,35000000,9,4,2076,3-,North East,3.5
Kathmandu,Kathmandu,2395.75,12,45000000,8,5,2069,3+,East,3.5
Kathmandu,Tokha,1411.78,12,35000000,8,5,2070,3-,South,3.5
Kathmandu,Gokarneshwor,1839.59,12,35500000,7,5,2075,3-,East,3.5
Kathmandu,Kirtipur,1863,12,40000000,1,4,2067,3-,South,3.5
Kathmandu,Tokha- 11,2738,12,55000000,11,6,2070,3+,South West,3.5
Lalitpur,Mahalaxmi,1411.78125,12,20000000,7,3,2060,3+,West,3.5
Lalitpur,Lalitpur,1711.25,12,33500000,8,4,2075,3-,East,3.5
Lalitpur,Lalitpur,1711.25,12,33500000,8,4,2075,3-,East,3.5
Kathmandu,Kathmandu,10952,12,150000000,4,4,2067,3+,South,3
Kathmandu,Budhanilkantha,1197.875,12,14000000,2,2,2070,3-,East,3
Kathmandu,Gokarneshwor,1369,12,30000000,6,3,2075,3-,East,3
Kathmandu,Kathmandu,2738,12,60000000,8,5,2075,3-,East,3
Kathmandu,Budhanilkantha,3600,12,76000000,2,1,2067,3-,West,3
Kathmandu,Gongabu,1197.875,12,23750000,6,5,2075,3+,North West,3
Kathmandu,Kathmandu-14,1347.609375,12,45000000,6,4,2079,3+,North East,3
Kathmandu,Budhanilkantha,1454.56,12,25000000,4,4,2075,3-,North West,3
Lalitpur,Mahalaxmi-5,1069.53125,12,23000000,6,3,2079,3+,South,3
Bhaktapur,Suryabinayak,1497.34,12,23000000,5,3,2076,3-,South West,2.5
Bhaktapur,Madhyapur Thimi-3,1540.125,12,31000000,5,4,2070,3+,West,2.5
Kathmandu,Budhanilkantha,1625.6875,12,31000000,5,4,2079,3+,West,2.5
Kathmandu,Kathmandu,2395.75,12,45000000,5,3,2067,3-,East,2.5
Kathmandu,Nagarjun,1283.43,12,27500000,4,4,2075,3-,North East,2.5
Kathmandu,Budhanilkantha,1112.31,12,22000000,5,5,2075,3-,East,2.5
Kathmandu,Kathmandu,1540.125,12,28500000,5,2,2068,3-,South,2.5
Kathmandu,Kathmandu,3016.07,12,58000000,6,5,2076,3+,East,2.5
Kathmandu,Tarkeshwor,1200,12,5000000,7,3,2076,3-,South West,2.5
Kathmandu,Budhanilkantha,1369,12,28000000,5,3,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1540.12,12,31000000,5,2,2074,3-,South East,2.5
Kathmandu,Jorpati,1069.53125,12,18000000,5,3,2079,3+,East,2.5
Kathmandu,Budhanilkantha,4107,12,50000000,7,5,2075,3+,East,2.5
Kathmandu,Chandragiri,1197.87,12,21500000,7,4,2073,3-,East,2.5
Kathmandu,Budhanilkantha,1540.125,12,25000000,7,5,2067,3-,North East,2.5
Kathmandu,Kathmandu,1745.475,12,55000000,4,5,2076,3-,South East,2.5
Kathmandu,Budhanilkantha,1369,12,27000000,5,4,2076,3-,South East,2.5
Kathmandu,Kathmandu,1711.2,12,100000000,6,4,2067,3+,East,2.5
Kathmandu,Kathmandu,1711.25,12,36500000,7,3,2063,3-,South West,2.5
Kathmandu,Budhanilkantha,2738,12,55000000,8,4,2076,3+,East,2.5
Kathmandu,Tarkeshwor,1561.51,12,25000000,5,4,2076,3-,East,2.5
Kathmandu,Kathmandu,1437.45,12,33000000,3,4,2076,3-,North,2.5
Kathmandu,Budhanilkantha,1440,12,27000000,3,3,2067,3-,East,2.5
Kathmandu,Kathmandu,2395.75,12,70000000,4,3,2067,3+,East,2.5
Kathmandu,Budhanilkantha,1197.875,12,23000000,3,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1711.25,12,26000000,5,3,2076,3-,West,2.5
Lalitpur,Lalitpur,1112.3125,12,22500000,6,3,2079,3+,North,2.5
Lalitpur,Lalitpur,1882.375,12,29000000,4,4,2076,3+,North,2.5
Lalitpur,Lalitpur,1690.715,12,31500000,6,4,2070,3+,North,2.5
Lalitpur,Lalitpur,1026.75,12,16000000,5,3,2068,3-,East,2.5
Lalitpur,Lalitpur,1112.31,12,21500000,3,3,2076,3-,South,2.5
Lalitpur,Lalitpur,2738,12,40000000,8,5,2067,3-,East,2.5
Lalitpur,Mahalaxmi-5,1197.875,12,26000000,7,3,2079,3+,East,2.5
Lalitpur,Mahalaxmi,1112.31,12,25000000,2,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1197.875,12,23000000,6,4,2076,3-,South East,2.5
Kathmandu,Kathmandu,1369,12,49500000,1,3,2067,3-,North,2
Kathmandu,Chandragiri,1711.25,12,17500000,4,2,2075,3-,East,2
Kathmandu,Kathmandu,4107,12,96000000,3,3,2067,3+,South,2
Kathmandu,Budhanilkantha,1818.2,12,37500000,5,2,2074,3-,East,2
Lalitpur,Godawari,1625.68,12,13000000,3,2,2068,3+,West,2
Kathmandu,Kathmandu,2566.875,12,18000000,2,1,2079,3+,East,1.5
Lalitpur,Mahalaxmi,855.62,12,11500000,3,1,2076,3-,East,1.5
Bhaktapur,Suryabinayak,1026.75,12,12000000,2,1,2076,3-,East,1
Lalitpur,Mahalaxmi,1026.75,12,12200000,2,1,2076,3-,South,1
Lalitpur,Mahalaxmi,1005.35,12,12000000,2,2,2078,3-,South,1
Lalitpur,Lalitpur,605,12,8000000,2,1,2079,3-,South East,1
Kathmandu,Budhanilkantha,1369,13,3150000000,3,5,2071,3-,East,7
Kathmandu,Nagarjun,1369,13,26500000,1,1,2074,3-,East,7
Bhaktapur,Bhaktapur,2053.5,13,45500000,13,7,2079,3+,North East,4.5
Kathmandu,Kathmandu,2181.84375,13,52500000,20,21,2079,3+,North East,4.5
Kathmandu,New Buspark,1369,13,45000000,20,17,2075,3+,North East,4.5
Kathmandu,Kathmandu,1369,13,38000000,12,5,2073,3-,North East,4.5
Lalitpur,Lalitpur,3422.5,13,70000000,13,9,2072,3+,South,4.5
Bhaktapur,Suryabinayak,1582.9,13,28000000,8,5,2075,3-,East,4
Kathmandu,Kathmandu,3764.75,13,16000000,1,1,2076,3-,North,4
Kathmandu,Budhanilkantha,350.796,13,23000000,1,5,2076,3-,South,4
Bhaktapur,Madhyapur Thimi,1026.75,13,21500000,6,5,2073,3-,East,3.5
Bhaktapur,Suryabinayak,3422.5,13,75000000,6,5,2076,3-,East,3.5
Bhaktapur,Suryabinayak,1796.81,13,26500000,8,4,2076,3-,East,3.5
Kathmandu,Kathmandu,1369,13,27000000,4,4,2072,3-,East,3.5
Kathmandu,Tarkeshwor,2395.75,13,55000000,12,7,2075,3+,East,3.5
Kathmandu,Kathmandu,1711.25,13,47500000,8,5,2075,3-,East,3.5
Kathmandu,Chandragiri,1454.5625,13,29000000,7,4,2079,3+,South East,3.5
Kathmandu,Kathmandu,1026.75,13,37000000,6,3,2060,3+,East,3.5
Kathmandu,Tokha,1369,13,25000000,6,4,2070,3-,South East,3.5
Kathmandu,Budhanilkantha,1197.875,13,24000000,7,4,2076,3-,West,3.5
Lalitpur,Lalitpur,1796.81,13,35000000,12,7,2075,3-,East,3.5
Lalitpur,Lalitpur,1026.75,13,22500000,7,1,2068,3-,West,3.5
Lalitpur,Lalitpur,1403.225,13,28700000,6,5,2076,3+,South,3.5
Lalitpur,Lalitpur Metropolitan,1197.875,13,39000000,5,6,2075,3+,East,3.5
Bhaktapur,Madhyapur Thimi,1197.87,13,27499999,7,3,2074,3-,North East,3
Kathmandu,Gokarneshwor,1200,13,30000000,8,3,2076,3-,East,3
Kathmandu,Tokha,1129.425,13,23500000,7,5,2076,3-,East,3
Kathmandu,Kathmandu,3422.5,13,80000000,6,5,2067,3+,West,3
Kathmandu,Budhanikantha,2053.5,13,41000000,5,4,2079,3-,South West,3
Kathmandu,Gokarneshwor,1369,13,27500000,3,5,2074,3-,South,3
Kathmandu,Kirtipur,1000,13,16500000,8,3,2073,3-,South,3
Kathmandu,Kirtipur,1026.75,13,18000000,8,3,2073,3-,South East,3
Kathmandu,Nagarjun,855.625,13,15500000,5,3,2067,3-,South,3
Kathmandu,Kathmandu,1026.75,13,33000000,5,4,2079,3+,West,3
Kathmandu,Kageshwari-Manohara-07,1283.4375,13,21500000,6,3,2079,3+,East,3
Kathmandu,Kathmandu,1540.125,13,33000000,6,3,2079,3+,East,3
Lalitpur,Mahalaxmi-4,1155.09375,13,27500000,6,4,2079,3+,North West,3
Lalitpur,Mahalaxmi,1026.75,13,26500000,5,3,2079,3+,West,3
Lalitpur,Mahalaxmi,983.96,13,10500000,3,2,2074,3-,West,3
Lalitpur,Lalitpur,3764.75,13,53500000,6,5,2076,3+,West,3
Lalitpur,Mahalaxmi,1048.14,13,24500000,4,5,2076,3-,East,3
Lalitpur,Mahalaxmi,1026.75,13,28100000,5,4,2076,3-,North,3
Lalitpur,Mahalaxmi,1197.875,13,34000000,6,4,2076,3-,East,3
Lalitpur,Lalitpur,1197.875,13,26500000,5,4,2076,3+,North,3
Lalitpur,Mahalaxmi,1882.375,13,35000000,5,4,2076,3-,West,3
Lalitpur,Lalitpur,1060,13,22500000,4,4,2076,3-,West,3
Lalitpur,Mahalaxmi,1882.375,13,35000000,5,4,2076,3-,South East,3
Lalitpur,Mahalaxmi,1060.975,13,20800000,5,5,2076,3-,North,3
Lalitpur,Mahalaxmi,1390.39,13,23500000,6,3,2074,3-,West,3
Lalitpur,Mahalaxmi-4,1026.75,13,26000000,6,3,2079,3+,East,3
Lalitpur,Mahalaxmi-5,941.1875,13,19900000,5,4,2079,3+,East,3
Bhaktapur,Madyapur Thimi-08,1155.09375,13,18500000,3,3,2075,3+,East,2.5
Bhaktapur,Bhaktapur,1369,13,28000000,6,3,2079,3+,North West,2.5
Bhaktapur,Suryabinayak,3422.5,13,55100000,5,4,2076,3-,East,2.5
Bhaktapur,Bhaktapur,1369,13,25000000,6,3,2075,3-,North West,2.5
Bhaktapur,Madhyapur Thimi,1625.68,13,38000000,6,4,2076,3-,West,2.5
Bhaktapur,Bhaktapur,1155.09375,13,27500000,4,4,2079,3+,West,2.5
Kathmandu,Kageshwori Manohara,1454.5625,13,25500000,6,4,2079,3+,West,2.5
Kathmandu,Nagarjun- 8,1197.875,13,19000000,2,4,2075,3+,South,2.5
Kathmandu,Tokha,1711.25,13,27500000,7,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1711.25,13,31000000,4,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1882.37,13,31800000,5,5,2075,3-,South East,2.5
Kathmandu,Tokha,1711.25,13,32500000,5,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1711.25,13,29800000,5,5,2075,3-,West,2.5
Kathmandu,Tokha,1026.75,13,29500000,5,3,2073,3-,West,2.5
Kathmandu,Chandragiri,1369,13,26000000,5,4,2076,3-,North East,2.5
Kathmandu,Chandragiri,1369,13,26000000,3,3,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1197.87,13,22500000,5,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1390.39,13,23800000,5,5,2075,3-,East,2.5
Kathmandu,Mahalaxmi,1026.75,13,18000000,6,3,2076,3-,North East,2.5
Kathmandu,Tokha,1369,13,29500000,5,4,2075,3-,East,2.5
Kathmandu,Budhanilkantha,2053.5,13,32000000,5,4,2075,3-,South East,2.5
Kathmandu,Budhanilkantha,2395.75,13,36500000,3,3,2075,3-,East,2.5
Kathmandu,Budhanilkantha,1882.37,13,33400000,5,5,2074,3-,South East,2.5
Kathmandu,Budhanilkantha,1369,13,35000000,6,4,2075,3-,East,2.5
Kathmandu,Tokha,1369,13,27500000,5,5,2075,3-,East,2.5
Kathmandu,Kathmandu,1711.25,13,28000000,6,4,2075,3-,East,2.5
Kathmandu,Nagarjun,1454.56,13,25300000,5,5,2075,3-,East,2.5
Kathmandu,Budhanilkantha,2738,13,50500000,5,5,2068,3-,East,2.5
Kathmandu,Budhanilkantha,1540.125,13,26000000,5,5,2074,3-,South,2.5
Kathmandu,Kathmandu,1069.53125,13,24000000,6,3,2075,3+,East,2.5
Kathmandu,Kathmandu,1197.875,13,30000000,2,2,2079,3+,East,2.5
Kathmandu,Kathmandu,1967.9375,13,49500000,5,5,2079,3+,South,2.5
Kathmandu,Kathmandu,1026.75,13,28000000,4,4,2079,3+,South,2.5
Kathmandu,Budhanilkantha-4,3764.75,13,85000000,6,4,2079,3+,South East,2.5
Kathmandu,Kathmandu,1069.53125,13,23500000,5,3,2075,3+,North East,2.5
Kathmandu,Kapan,1711.25,13,30000000,5,4,2079,3+,South West,2.5
Kathmandu,Kathmandu,1155.09,13,27000000,6,3,2076,3-,South East,2.5
Kathmandu,Kageshwori Manohara-07,1048.140625,13,24000000,6,3,2079,3+,South West,2.5
Kathmandu,Chandragiri,1026.75,13,14500000,2,3,2079,3+,South East,2.5
Kathmandu,Budhanilkantha,1437.45,13,26500000,5,5,2076,3+,East,2.5
Kathmandu,Kathmandu,1369,13,29500000,5,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1197.875,13,16500000,5,4,2074,3-,South West,2.5
Kathmandu,Budhanilkantha,1197.87,13,22000000,7,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,27000000,5,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,6502.75,13,100000000,6,5,2069,3+,East,2.5
Kathmandu,Kathmandu,1369,13,32000000,6,5,2075,3-,East,2.5
Kathmandu,Nagarjun,6845,13,170000000,5,7,2068,3+,East,2.5
Kathmandu,Kageshwori Manahara,1026.75,13,23000000,5,3,2079,3-,South East,2.5
Kathmandu,Budhanikantha,3080.25,13,60000000,4,5,2077,3+,South West,2.5
Kathmandu,Budhanilkantha,1369,13,22000000,6,4,2071,3-,East,2.5
Kathmandu,Budhanilkantha,2395.75,13,34000000,6,4,2067,3-,South West,2.5
Kathmandu,Budhanilkantha,2053.5,13,42000000,5,5,2076,3+,East,2.5
Kathmandu,Tokha,1711.25,13,32000000,6,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,28000000,7,4,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1369,13,27000000,5,5,2076,3-,East,2.5
Kathmandu,Budhanilkantha,1745.475,13,41500000,6,5,2076,3-,West,2.5
Kathmandu,Kathmandu,1745.475,13,55000000,6,5,2076,3-,North East,2.5
Kathmandu,Budhanikantha,2738,13,65000000,5,3,2060,3-,South,2.5
Kathmandu,Chandragiri,1369,13,27500000,5,3,2076,3-,South East,2.5
Kathmandu,Kathmandu,1711.2,13,110000000,6,5,2071,3+,East,2.5
Kathmandu,Kathmandu,3800,13,130000000,4,5,2067,3+,South,2.5
Kathmandu,Kirtipur,1197.87,13,18000000,6,3,2076,3-,South,2.5
Kathmandu,Nagarjun,1369,13,31000000,5,4,2079,3-,South East,2.5
Kathmandu,Budhanikantha,1711.25,13,35000000,5,5,2077,3-,West,2.5
Kathmandu,Kathmandu,2395.75,13,60000000,4,5,2067,3-,East,2.5
Kathmandu,Kathmandu,1540.125,13,26000000,4,3,2070,3-,East,2.5
Kathmandu,Chandragiri,1369,13,27500000,6,5,2076,3-,East,2.5
Kathmandu,Tokha,1048.14,13,26000000,3,4,2075,3-,West,2.5
Kathmandu,Budhanilkantha,1711.25,13,36000000,6,5,2076,3-,North East,2.5
Kathmandu,Lalitpur,3080.25,13,77000000,6,4,2072,3+,East,2.5
Kathmandu,Budhanilkantha,2566.875,13,55000000,5,5,2076,3+,North East,2.5
Kathmandu,Budhanilkantha,1882.375,13,37500000,5,3,2076,3-,South,2.5
Kathmandu,Kathmandu,1882.375,13,35000000,2,1,2071,3-,East,2.5
Kathmandu,Kathmandu,1711.25,13,32000000,1,3,2072,3-,East,2.5
Kathmandu,Gokarneshwor,1026.75,13,19500000,6,3,2068,3-,West,2.5
Kathmandu,Kathmandu,1540.125,13,27000000,5,4,2073,3-,North,2.5
Kathmandu,Budhanilkantha,1711.25,13,34500000,5,4,2076,3-,South,2.5
Kathmandu,Kathmandu,1026.75,13,34500000,4,4,2076,3-,East,2.5
Kathmandu,Kageshwori Manahara,1197.87,13,27000000,6,3,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1026.75,13,23500000,4,3,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,24100000,7,3,2079,3-,North West,2.5
Lalitpur,Mahalaxmi,1369,13,25000000,4,4,2079,3+,North East,2.5
Lalitpur,Mahalaxmi,1112.31,13,25000000,7,4,2076,3-,North,2.5
Lalitpur,Mahalaxmi,1133.7,13,25000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,23000000,4,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1197.87,13,26000000,5,4,2076,3-,North East,2.5
Lalitpur,Mahalaxmi,1112.3125,13,25000000,6,3,2079,3+,South West,2.5
Lalitpur,Mahalaxmi,1197.87,13,27500000,5,4,2076,3-,East,2.5
Lalitpur,Mahalaxmi,1026.75,13,23000000,4,4,2076,3-,West,2.5
Lalitpur,Mahalaxmi,1026.75,13,22500000,4,4,2079,3+,West,2.5
Lalitpur,Mahalaxmi,1026.75,13,23500000,4,4,2076,3-,South,2.5
Lalitpur,Lalitpur,1219.26,13,36500000,3,4,2073,3-,East,2.5
Lalitpur,Lalitpur,1112.3125,13,23500000,5,4,2079,3+,South East,2.5
Lalitpur,Mahalaxmi,1197.875,13,25000000,3,3,2068,3-,South West,2.5
Lalitpur,Mahalaxmi-5,1112.3125,13,25000000,6,5,2079,3+,South,2.5
Lalitpur,Lalitpur,1369,13,37500000,4,4,2069,3-,South East,2.5
Lalitpur,Mahalaxmi,1026.75,13,18500000,4,2,2079,3+,South,2.5
Lalitpur,Mahalaxmi,1197.87,13,27000000,6,4,2076,3-,North East,2.5
